,french,latin,english,id
128,Chevalier solitaire,Tringa solitaria,Solitary Sandpiper,chevalier.solitaire
129,Chevalier stagnatile,Tringa stagnatilis,Marsh Sandpiper,chevalier.stagnatile
130,Chevalier sylvain,Tringa glareola,Wood Sandpiper,chevalier.sylvain
131,Chevêche d'Athéna,Athene noctua,Little Owl,cheveche.d.athena
132,Chevêchette d'Europe,Glaucidium passerinum,Eurasian Pygmy Owl,chevechette.d.europe
133,Chocard à bec jaune,Pyrrhocorax graculus,Alpine Chough,chocard.a.bec.jaune
134,Choucas de Daourie,Coloeus dauuricus,Daurian Jackdaw,choucas.de.daourie
135,Choucas des tours,Coloeus monedula,Western Jackdaw,choucas.des.tours
136,Chouette de Tengmalm,Aegolius funereus,Boreal Owl,chouette.de.tengmalm
137,Chouette épervière,Surnia ulula,Northern Hawk-Owl,chouette.eperviere
138,Chouette hulotte,Strix aluco,Tawny Owl,chouette.hulotte
139,Cigogne blanche,Ciconia ciconia,White Stork,cigogne.blanche
140,Cigogne noire,Ciconia nigra,Black Stork,cigogne.noire
141,Cincle plongeur,Cinclus cinclus,White-throated Dipper,cincle.plongeur
142,Circaète Jean-le-Blanc,Circaetus gallicus,Short-toed Snake Eagle,circaete.jean-le-blanc
143,Cisticole des joncs,Cisticola juncidis,Zitting Cisticola,cisticole.des.joncs
144,Cochevis de Thékla,Galerida theklae,Thekla's Lark,cochevis.de.thekla
145,Cochevis huppé,Galerida cristata,Crested Lark,cochevis.huppe
146,Colin de Californie,Callipepla californica,California Quail,colin.de.californie
147,Colin de Virginie,Colinus virginianus,Northern Bobwhite,colin.de.virginie
148,Combattant varié,Calidris pugnax,Ruff,combattant.varie
149,Corbeau à queue courte,Corvus rhipidurus,Fan-tailed Raven,corbeau.a.queue.courte
150,Corbeau freux,Corvus frugilegus,Rook,corbeau.freux
151,Cormoran à aigrettes,Nannopterum auritum,Double-crested Cormorant,cormoran.a.aigrettes
152,Cormoran huppé,Gulosus aristotelis,European Shag,cormoran.huppe
153,Cormoran pygmée,Microcarbo pygmaeus,Pygmy Cormorant,cormoran.pygmee
154,Corneille mantelée,Corvus cornix,Hooded Crow,corneille.mantelee
155,Corneille noire,Corvus corone,Carrion Crow,corneille.noire
156,Coucou geai,Clamator glandarius,Great Spotted Cuckoo,coucou.geai
157,Coucou gris,Cuculus canorus,Common Cuckoo,coucou.gris
158,Coulicou à bec jaune,Coccyzus americanus,Yellow-billed Cuckoo,coulicou.a.bec.jaune
159,Coulicou à bec noir,Coccyzus erythropthalmus,Black-billed Cuckoo,coulicou.a.bec.noir
160,Courlis à bec grêle,Numenius tenuirostris,Slender-billed Curlew,courlis.a.bec.grele
161,Courlis cendré,Numenius arquata,Eurasian Curlew,courlis.cendre
162,Courlis corlieu,Numenius phaeopus,Eurasian Whimbrel,courlis.corlieu
163,Courlis hudsonien,Numenius hudsonicus,Hudsonian Whimbrel,courlis.hudsonien
164,Courvite isabelle,Cursorius cursor,Cream-colored Courser,courvite.isabelle
165,Crabier chevelu,Ardeola ralloides,Squacco Heron,crabier.chevelu
166,Crave à bec rouge,Pyrrhocorax pyrrhocorax,Red-billed Chough,crave.a.bec.rouge
167,Cygne chanteur,Cygnus cygnus,Whooper Swan,cygne.chanteur
168,Cygne de Bewick,Cygnus columbianus,Tundra Swan,cygne.de.bewick
169,Cygne noir,Cygnus atratus,Black Swan,cygne.noir
170,Cygne tuberculé,Cygnus olor,Mute Swan,cygne.tubercule
171,Damier du Cap,Daption capense,Cape Petrel,damier.du.cap
172,Dendrocygne fauve,Dendrocygna bicolor,Fulvous Whistling Duck,dendrocygne.fauve
173,Durbec des sapins,Pinicola enucleator,Pine Grosbeak,durbec.des.sapins
174,Échasse blanche,Himantopus himantopus,Black-winged Stilt,echasse.blanche
175,Effraie des clochers,Tyto alba,Western Barn Owl,effraie.des.clochers
176,Eider à duvet,Somateria mollissima,Common Eider,eider.a.duvet
177,Eider à tête grise,Somateria spectabilis,King Eider,eider.a.tete.grise
178,Eider de Steller,Polysticta stelleri,Steller's Eider,eider.de.steller
179,Élanion blanc,Elanus caeruleus,Black-winged Kite,elanion.blanc
180,Engoulevent à collier roux,Caprimulgus ruficollis,Red-necked Nightjar,engoulevent.a.collier.roux
181,Engoulevent d'Amérique,Chordeiles minor,Common Nighthawk,engoulevent.d.amerique
182,Engoulevent d'Europe,Caprimulgus europaeus,European Nightjar,engoulevent.d.europe
183,Épervier d'Europe,Accipiter nisus,Eurasian Sparrowhawk,epervier.d.europe
184,Érismature à tête blanche,Oxyura leucocephala,White-headed Duck,erismature.a.tete.blanche
185,Érismature rousse,Oxyura jamaicensis,Ruddy Duck,erismature.rousse
186,Étourneau roselin,Pastor roseus,Rosy Starling,etourneau.roselin
187,Étourneau sansonnet,Sturnus vulgaris,Common Starling,etourneau.sansonnet
188,Étourneau unicolore,Sturnus unicolor,Spotless Starling,etourneau.unicolore
189,Faisan de Colchide,Phasianus colchicus,Common Pheasant,faisan.de.colchide
190,Faisan vénéré,Syrmaticus reevesii,Reeves's Pheasant,faisan.venere
191,Faucon concolore,Falco concolor,Sooty Falcon,faucon.concolore
192,Faucon crécerelle,Falco tinnunculus,Common Kestrel,faucon.crecerelle
193,Faucon crécerellette,Falco naumanni,Lesser Kestrel,faucon.crecerellette
194,Faucon d'Éléonore,Falco eleonorae,Eleonora's Falcon,faucon.d.eleonore
195,Faucon de l'Amour,Falco amurensis,Amur Falcon,faucon.de.l.amour
196,Faucon émerillon,Falco columbarius,Merlin,faucon.emerillon
197,Faucon gerfaut,Falco rusticolus,Gyrfalcon,faucon.gerfaut
198,Faucon hobereau,Falco subbuteo,Eurasian Hobby,faucon.hobereau
199,Faucon kobez,Falco vespertinus,Red-footed Falcon,faucon.kobez
200,Faucon lanier,Falco biarmicus,Lanner Falcon,faucon.lanier
201,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,faucon.pelerin
202,Faucon sacre,Falco cherrug,Saker Falcon,faucon.sacre
203,Fauvette à lunettes,Curruca conspicillata,Spectacled Warbler,fauvette.a.lunettes
204,Fauvette à tête noire,Sylvia atricapilla,Eurasian Blackcap,fauvette.a.tete.noire
205,Fauvette babillarde,Curruca curruca,Lesser Whitethroat,fauvette.babillarde
206,Fauvette de l'Atlas,Curruca deserticola,Tristram's Warbler,fauvette.de.l.atlas
207,Fauvette de Moltoni,Curruca subalpina,Moltoni's Warbler,fauvette.de.moltoni
208,Fauvette de Rüppell,Curruca ruppeli,Rüppell's Warbler,fauvette.de.ruppell
209,Fauvette des Balkans,Curruca cantillans,Eastern Subalpine Warbler,fauvette.des.balkans
210,Fauvette des jardins,Sylvia borin,Garden Warbler,fauvette.des.jardins
211,Fauvette épervière,Curruca nisoria,Barred Warbler,fauvette.eperviere
212,Fauvette grisette,Curruca communis,Common Whitethroat,fauvette.grisette
213,Fauvette mélanocéphale,Curruca melanocephala,Sardinian Warbler,fauvette.melanocephale
214,Fauvette naine,Curruca nana,Asian Desert Warbler,fauvette.naine
215,Fauvette orphéane,Curruca crassirostris,Eastern Orphean Warbler,fauvette.orpheane
216,Fauvette orphée,Curruca hortensis,Western Orphean Warbler,fauvette.orphee
217,Fauvette passerinette,Curruca iberiae,Western Subalpine Warbler,fauvette.passerinette
218,Fauvette pitchou,Curruca undata,Dartford Warbler,fauvette.pitchou
219,Fauvette sarde,Curruca sarda,Marmora's Warbler,fauvette.sarde
220,Flamant nain,Phoeniconaias minor,Lesser Flamingo,flamant.nain
221,Flamant rose,Phoenicopterus roseus,Greater Flamingo,flamant.rose
222,Fou à pieds rouges,Sula sula,Red-footed Booby,fou.a.pieds.rouges
223,Fou brun,Sula leucogaster,Brown Booby,fou.brun
224,Fou de Bassan,Morus bassanus,Northern Gannet,fou.de.bassan
225,Fou masqué,Sula dactylatra,Masked Booby,fou.masque
226,Foulque caronculée,Fulica cristata,Red-knobbed Coot,foulque.caronculee
227,Foulque macroule,Fulica atra,Eurasian Coot,foulque.macroule
228,Frégate superbe,Fregata magnificens,Magnificent Frigatebird,fregate.superbe
229,Fuligule à bec cerclé,Aythya collaris,Ring-necked Duck,fuligule.a.bec.cercle
230,Fuligule à tête noire,Aythya affinis,Lesser Scaup,fuligule.a.tete.noire
231,Fuligule à tête rouge,Aythya americana,Redhead,fuligule.a.tete.rouge
232,Fuligule milouin,Aythya ferina,Common Pochard,fuligule.milouin
233,Fuligule milouinan,Aythya marila,Greater Scaup,fuligule.milouinan
234,Fuligule morillon,Aythya fuligula,Tufted Duck,fuligule.morillon
235,Fuligule nyroca,Aythya nyroca,Ferruginous Duck,fuligule.nyroca
236,Fulmar boréal,Fulmarus glacialis,Northern Fulmar,fulmar.boreal
237,Gallinule poule-d'eau,Gallinula chloropus,Common Moorhen,gallinule.poule-d.eau
238,Ganga cata,Pterocles alchata,Pin-tailed Sandgrouse,ganga.cata
239,Garrot à oeil d'or,Bucephala clangula,Common Goldeneye,garrot.a.oeil.d.or
240,Garrot albéole,Bucephala albeola,Bufflehead,garrot.albeole
241,Garrot d'Islande,Bucephala islandica,Barrow's Goldeneye,garrot.d.islande
242,Geai des chênes,Garrulus glandarius,Eurasian Jay,geai.des.chenes
243,Gélinotte des bois,Tetrastes bonasia,Hazel Grouse,gelinotte.des.bois
244,Glaréole à ailes noires,Glareola nordmanni,Black-winged Pratincole,glareole.a.ailes.noires
245,Glaréole à collier,Glareola pratincola,Collared Pratincole,glareole.a.collier
246,Glaréole orientale,Glareola maldivarum,Oriental Pratincole,glareole.orientale
247,Gobemouche à collier,Ficedula albicollis,Collared Flycatcher,gobemouche.a.collier
248,Gobemouche à demi-collier,Ficedula semitorquata,Semicollared Flycatcher,gobemouche.a.demi-collier
249,Gobemouche de la taïga,Ficedula albicilla,Taiga Flycatcher,gobemouche.de.la.taiga
250,Gobemouche gris,Muscicapa striata,Spotted Flycatcher,gobemouche.gris
251,Gobemouche nain,Ficedula parva,Red-breasted Flycatcher,gobemouche.nain
252,Gobemouche noir,Ficedula hypoleuca,European Pied Flycatcher,gobemouche.noir
253,Goéland à ailes blanches,Larus glaucoides,Iceland Gull,goeland.a.ailes.blanches
254,Goéland à bec cerclé,Larus delawarensis,Ring-billed Gull,goeland.a.bec.cercle
255,Goéland argenté,Larus argentatus,European Herring Gull,goeland.argente
256,Goéland bourgmestre,Larus hyperboreus,Glaucous Gull,goeland.bourgmestre
257,Goéland brun,Larus fuscus,Lesser Black-backed Gull,goeland.brun
258,Goéland cendré,Larus canus,Common Gull,goeland.cendre
259,Goéland d'Amérique,Larus smithsonianus,American Herring Gull,goeland.d.amerique
260,Goéland d'Audouin,Ichthyaetus audouinii,Audouin's Gull,goeland.d.audouin
261,Goéland de la Véga,Larus vegae,Vega Gull,goeland.de.la.vega
262,Goéland dominicain,Larus dominicanus,Kelp Gull,goeland.dominicain
263,Goéland ichthyaète,Ichthyaetus ichthyaetus,Pallas's Gull,goeland.ichthyaete
264,Goéland leucophée,Larus michahellis,Yellow-legged Gull,goeland.leucophee
265,Goéland marin,Larus marinus,Great Black-backed Gull,goeland.marin
266,Goéland pontique,Larus cachinnans,Caspian Gull,goeland.pontique
267,Goéland railleur,Chroicocephalus genei,Slender-billed Gull,goeland.railleur
268,Goglu des prés,Dolichonyx oryzivorus,Bobolink,goglu.des.pres
269,Gorgebleue à miroir,Luscinia svecica,Bluethroat,gorgebleue.a.miroir
270,Grand-duc d'Europe,Bubo bubo,Eurasian Eagle-Owl,grand-duc.d.europe
271,Grand Corbeau,Corvus corax,Northern Raven,grand.corbeau
272,Grand Cormoran,Phalacrocorax carbo,Great Cormorant,grand.cormoran
273,Grand Gravelot,Charadrius hiaticula,Common Ringed Plover,grand.gravelot
274,Grand Héron,Ardea herodias,Great Blue Heron,grand.heron
275,Grand Labbe,Stercorarius skua,Great Skua,grand.labbe
276,Grand Tétras,Tetrao urogallus,Western Capercaillie,grand.tetras
277,Grande Aigrette,Ardea alba,Great Egret,grande.aigrette
278,Gravelot à collier interrompu,Charadrius alexandrinus,Kentish Plover,gravelot.a.collier.interrompu
279,Gravelot de Leschenault,Charadrius leschenaultii,Greater Sand Plover,gravelot.de.leschenault
280,Gravelot kildir,Charadrius vociferus,Killdeer,gravelot.kildir
281,Gravelot mongol,Charadrius mongolus,Lesser Sand Plover,gravelot.mongol
282,Gravelot pâtre,Charadrius pecuarius,Kittlitz's Plover,gravelot.patre
283,Gravelot semipalmé,Charadrius semipalmatus,Semipalmated Plover,gravelot.semipalme
284,Grèbe à bec bigarré,Podilymbus podiceps,Pied-billed Grebe,grebe.a.bec.bigarre
285,Grèbe à cou noir,Podiceps nigricollis,Black-necked Grebe,grebe.a.cou.noir
286,Grèbe castagneux,Tachybaptus ruficollis,Little Grebe,grebe.castagneux
287,Grèbe esclavon,Podiceps auritus,Horned Grebe,grebe.esclavon
288,Grèbe huppé,Podiceps cristatus,Great Crested Grebe,grebe.huppe
289,Grèbe jougris,Podiceps grisegena,Red-necked Grebe,grebe.jougris
290,Grimpereau des bois,Certhia familiaris,Eurasian Treecreeper,grimpereau.des.bois
291,Grimpereau des jardins,Certhia brachydactyla,Short-toed Treecreeper,grimpereau.des.jardins
292,Grive à ailes rousses,Turdus eunomus,Dusky Thrush,grive.a.ailes.rousses
293,Grive à dos olive,Catharus ustulatus,Swainson's Thrush,grive.a.dos.olive
294,Grive à gorge noire,Turdus atrogularis,Black-throated Thrush,grive.a.gorge.noire
